"timestamps","temperatures","humidities"
"2018-06-16 18:23:48.506048",26.5,44.20000076293945
"2018-06-16 18:23:53.508452",26.5,44.20000076293945
"2018-06-16 18:23:58.513031",26.5,44.20000076293945
"2018-06-16 18:24:03.516079",26.5,44.20000076293945
"2018-06-16 18:24:08.520846",26.5,44.20000076293945
"2018-06-16 18:24:13.525382",26.5,44.20000076293945
"2018-06-16 18:24:21.058049",26.5,44.099998474121094
"2018-06-16 18:24:23.531721",26.5,44.20000076293945
"2018-06-16 18:24:28.536455",26.5,44.20000076293945
"2018-06-16 18:24:33.541028",26.5,44.20000076293945
"2018-06-16 18:24:38.545700",26.5,44.20000076293945
"2018-06-16 18:24:43.550173",26.5,44.20000076293945
"2018-06-16 18:24:48.554837",26.5,44.29999923706055
"2018-06-16 18:24:53.559334",26.5,44.29999923706055
"2018-06-16 18:24:58.563904",26.5,44.29999923706055
"2018-06-16 18:25:03.568462",26.5,44.400001525878906
"2018-06-16 18:25:08.573053",26.5,44.400001525878906
"2018-06-16 18:25:13.577678",26.5,44.400001525878906
"2018-06-16 18:25:18.582300",26.5,44.400001525878906
"2018-06-16 18:25:23.586887",26.5,44.400001525878906
"2018-06-16 18:25:28.187312",26.5,44.5
"2018-06-16 18:25:33.189905",26.600000381469727,44.5
"2018-06-16 18:25:38.194583",26.600000381469727,44.5
"2018-06-16 18:25:43.199007",26.600000381469727,44.5
"2018-06-16 18:25:50.735401",26.600000381469727,44.400001525878906
"2018-06-16 18:25:53.205655",26.600000381469727,44.400001525878906
"2018-06-16 18:25:58.210228",26.600000381469727,44.400001525878906
"2018-06-16 18:26:03.214988",26.600000381469727,44.400001525878906
"2018-06-16 18:26:14.595661",26.700000762939453,44.5
"2018-06-16 18:26:19.598020",26.700000762939453,44.400001525878906
"2018-06-16 18:26:24.602614",26.700000762939453,44.5
"2018-06-16 18:26:29.607145",26.700000762939453,44.400001525878906
"2018-06-16 18:26:34.611678",26.700000762939453,44.400001525878906
"2018-06-16 18:26:39.616157",26.799999237060547,44.400001525878906
"2018-06-16 18:26:44.620696",26.799999237060547,44.400001525878906
"2018-06-16 18:26:49.625381",26.700000762939453,44.29999923706055
"2018-06-16 18:26:54.629809",26.799999237060547,44.400001525878906
"2018-06-16 18:26:59.634429",26.799999237060547,44.400001525878906
"2018-06-16 18:27:04.638912",26.799999237060547,44.400001525878906
"2018-06-16 18:27:09.643538",26.899999618530273,44.400001525878906
"2018-06-16 18:27:14.648078",26.899999618530273,44.400001525878906
"2018-06-16 18:27:19.652742",26.899999618530273,44.400001525878906
"2018-06-16 18:27:26.060080",26.899999618530273,44.29999923706055
"2018-06-16 18:27:31.062611",26.899999618530273,44.29999923706055
"2018-06-16 18:27:36.067109",26.899999618530273,44.29999923706055
"2018-06-16 18:27:41.071728",27.0,44.29999923706055
"2018-06-16 18:27:46.076286",27.0,44.20000076293945
"2018-06-16 18:27:48.868490",27.0,44.20000076293945
"2018-06-16 18:27:53.870682",27.0,44.20000076293945
"2018-06-16 18:27:58.874819",27.0,44.20000076293945
"2018-06-16 18:28:03.878999",27.0,44.20000076293945
"2018-06-16 18:28:08.883146",27.0,44.099998474121094
"2018-06-16 18:32:07.259084",27.700000762939453,43.599998474121094
"2018-06-16 18:32:12.262195",27.700000762939453,43.599998474121094
"2018-06-16 18:32:17.266729",27.700000762939453,43.599998474121094
"2018-06-16 18:32:22.171147",27.700000762939453,43.599998474121094
"2018-06-16 18:32:27.075710",27.700000762939453,43.599998474121094
"2018-06-16 18:32:31.980094",27.700000762939453,43.5
"2018-06-16 18:32:36.884450",27.700000762939453,43.5
"2018-06-16 18:32:41.788950",27.700000762939453,43.5
"2018-06-16 18:32:46.693405",27.700000762939453,43.5
"2018-06-16 18:32:51.597779",27.700000762939453,43.5
"2018-06-16 18:32:59.033911",27.799999237060547,43.5
"2018-06-16 18:33:01.404328",27.799999237060547,43.5
"2018-06-16 18:33:06.308711",27.700000762939453,43.400001525878906
"2018-06-16 18:33:11.213290",27.799999237060547,43.5
"2018-06-16 18:33:16.117873",27.799999237060547,43.5
"2018-06-16 18:33:21.022140",27.799999237060547,43.5
"2018-06-16 18:33:25.926660",27.799999237060547,43.5
"2018-06-16 18:33:30.831081",27.799999237060547,43.5
"2018-06-16 18:33:35.735598",27.799999237060547,43.5
"2018-06-16 18:33:40.636245",27.899999618530273,43.5
"2018-06-16 18:33:48.072366",27.899999618530273,43.400001525878906
"2018-06-16 18:33:50.442510",27.899999618530273,43.5
"2018-06-16 18:33:55.347036",27.899999618530273,43.5
"2018-06-16 18:34:01.551470",27.799999237060547,43.400001525878906
"2018-06-16 18:34:06.554830",27.899999618530273,43.400001525878906
"2018-06-16 18:34:11.559244",27.899999618530273,43.400001525878906
"2018-06-16 18:34:16.463711",27.899999618530273,43.400001525878906
"2018-06-16 18:34:21.368158",27.899999618530273,43.400001525878906
"2018-06-16 18:34:26.372695",27.899999618530273,43.400001525878906
"2018-06-16 18:34:31.377302",27.899999618530273,43.400001525878906
"2018-06-16 18:34:36.382008",27.899999618530273,43.400001525878906
"2018-06-16 18:34:41.386394",27.899999618530273,43.29999923706055
"2018-06-16 18:34:46.390822",28.0,43.400001525878906
"2018-06-16 18:34:51.395501",28.0,43.5
"2018-06-16 18:34:56.399904",28.0,43.400001525878906
"2018-06-16 18:35:01.404533",28.0,43.400001525878906
"2018-06-16 18:35:06.409120",27.899999618530273,43.400001525878906
"2018-06-16 18:35:11.413536",28.0,43.400001525878906
"2018-06-16 18:35:16.418102",28.0,43.400001525878906
"2018-06-16 18:35:21.422660",28.0,43.400001525878906
"2018-06-16 18:35:26.427077",28.0,43.400001525878906
"2018-06-16 18:35:31.431728",28.0,43.400001525878906
"2018-06-16 18:35:36.816620",28.0,43.400001525878906
"2018-06-16 18:35:41.819700",28.0,43.400001525878906
"2018-06-16 18:35:46.824170",28.0,43.400001525878906
"2018-06-16 18:35:51.828735",28.0,43.5
"2018-06-16 18:35:56.733143",28.0,43.400001525878906
"2018-06-16 18:36:00.736716",28.0,43.400001525878906
"2018-06-16 18:36:03.438986",28.100000381469727,43.400001525878906
"2018-06-16 18:36:05.440408",28.0,43.400001525878906
"2018-06-16 18:36:07.442037",28.100000381469727,43.5
"2018-06-16 18:36:09.443547",28.100000381469727,43.400001525878906
"2018-06-16 18:36:11.445130",28.100000381469727,43.400001525878906
"2018-06-16 18:36:13.446648",28.100000381469727,43.400001525878906
"2018-06-16 18:36:15.448193",28.100000381469727,43.400001525878906
"2018-06-16 18:36:17.453507",28.100000381469727,43.400001525878906
"2018-06-16 18:36:19.451254",28.100000381469727,43.400001525878906
"2018-06-16 18:36:21.452928",28.100000381469727,43.400001525878906
"2018-06-16 18:36:23.554598",28.100000381469727,43.400001525878906
"2018-06-16 18:36:26.256724",28.100000381469727,43.400001525878906
"2018-06-16 18:36:29.960014",28.100000381469727,43.400001525878906
"2018-06-16 18:36:37.392360",28.100000381469727,43.400001525878906
"2018-06-16 18:36:40.266742",28.0,43.400001525878906
"2018-06-16 18:36:46.572695",28.0,43.29999923706055
"2018-06-16 18:36:53.479049",28.100000381469727,43.400001525878906
"2018-06-16 18:37:00.385681",28.100000381469727,43.400001525878906
"2018-06-16 18:37:07.292137",28.100000381469727,43.5
"2018-06-16 18:37:14.198431",28.100000381469727,43.400001525878906
"2018-06-16 18:37:21.105074",28.200000762939453,43.5
"2018-06-16 18:37:28.011280",28.100000381469727,43.400001525878906
"2018-06-16 18:37:34.917703",28.200000762939453,43.5
"2018-06-16 18:37:41.824225",28.200000762939453,43.5
"2018-06-16 18:37:56.594439",28.200000762939453,43.5
"2018-06-16 18:38:01.597615",28.100000381469727,43.400001525878906
"2018-06-16 18:38:06.602306",28.200000762939453,43.5
"2018-06-16 18:38:08.603711",28.200000762939453,43.5
"2018-06-16 18:38:11.661830",28.200000762939453,43.5
"2018-06-16 18:38:12.201302",28.100000381469727,43.400001525878906
"2018-06-16 18:38:16.729612",28.200000762939453,43.5
"2018-06-16 18:38:19.203466",28.200000762939453,43.5
"2018-06-16 18:38:24.208121",28.200000762939453,43.5
"2018-06-16 18:38:32.388052",28.200000762939453,43.400001525878906
"2018-06-16 18:38:37.388712",28.200000762939453,43.5
"2018-06-16 18:38:40.863664",28.200000762939453,43.5
"2018-06-16 18:38:55.877994",28.299999237060547,43.5
"2018-06-16 18:40:33.164478",28.299999237060547,43.599998474121094
"2018-06-16 18:40:38.167430",28.299999237060547,43.599998474121094
"2018-06-16 18:40:45.290285",28.299999237060547,43.599998474121094
"2018-06-16 18:40:50.293452",28.299999237060547,43.5
"2018-06-16 18:40:55.297912",28.299999237060547,43.599998474121094
"2018-06-16 18:41:00.302414",28.299999237060547,43.599998474121094
"2018-06-16 18:41:05.306393",28.299999237060547,43.70000076293945
"2018-06-16 18:41:10.310827",28.299999237060547,43.79999923706055
"2018-06-16 18:41:15.315421",28.299999237060547,43.900001525878906
"2018-06-16 18:41:20.319918",28.299999237060547,43.900001525878906
"2018-06-16 18:41:25.324655",28.299999237060547,43.900001525878906
"2018-06-16 18:41:53.451560",28.299999237060547,43.79999923706055
"2018-06-16 18:42:03.454504",28.200000762939453,43.70000076293945
"2018-06-16 18:42:13.463849",28.299999237060547,43.79999923706055
